pc vector number	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50
Y.K1	0.05795771021658458	-0.3407567562084814	0.06543539892018253	-0.02089952143700327	-0.03610410772620131	-0.04360524122877198	0.024020101152462524	0.004097523350877563	-0.02301441903226712	0.02142349419648828	0.028239569071659126	-0.03236475267179636	0.0021785387930341174	0.02098751742901915	-0.023098065988772103	-0.0014310833393686492	-0.015365519190759869	0.0468793489280311	0.009751299929589018	-0.034841571131676054	-0.02385761788764651	0.005116716375036029	0.03422984342397113	-0.01492543032483043	-0.020844700748480854	0.042619271569173396	0.011324324409357751	-0.0018925877211477381	0.013548637426282118	-0.0033834322039770592	0.027565394596143232	-0.006568631838825886	0.03187565376880817	0.002234595784320163	-0.05041397597062774	-0.05291788518905519	-0.02631621940114601	0.09821087653031021	-0.015119185131364137	0.015024589809073131	-0.034055308919593956	-0.08585113474952583	0.09983942932291147	-0.025978922832689395	-0.08087725502469273	0.0469604000247512	-0.026417851284131367	0.029954626527823304	-0.014815571837169849	-0.0
Y.K2	0.02277162389261348	-0.3383316158940317	0.07855588941170033	-0.009481561863048688	0.01881602783500474	-0.014509533177257282	0.030390988357374263	0.0028336020366964763	-0.03976061392175776	-0.03429213313856028	0.01249864320595113	-0.006442852174349002	0.006798071109110991	-0.00983921686191701	0.007856266661882251	0.008408365176727392	-0.060906351323509446	0.016308101075151515	0.024174004596756348	0.01667150953651525	0.0073062825623111255	-0.05110830015578572	-0.03642687741594075	-0.04649180368184447	0.03762343851444303	-0.07462762992458796	-0.003959456436864466	0.024952762834625376	-0.06993054759884645	-0.04759383321267752	-0.11317571249232508	0.041866444254665236	0.028003700370476354	-0.021332867073779776	0.03976079753595737	-0.09054835426774233	-0.016758479570936714	0.039186851465390644	0.11051867039867369	0.05157149444871658	-0.0027107090682055713	0.021554904654051115	-0.055161800738129	-0.028676080049017026	0.024814962973700835	0.028931962541689546	-0.009323751254483077	-0.02431963471162165	0.0005709852643765585	-0.0
Y.K3	-0.03645130328243926	-0.32548393875138687	0.06455854418005019	0.025651562762534205	-0.011147910220433084	-0.08827734683107936	0.01244247543214194	-0.00712828511694736	-0.026405072956430808	0.05523559761066874	0.09540814367853542	-0.05848975713726385	0.028414201218981514	0.06024492786637659	-0.06258115767749876	-0.014796983842247133	-0.11651488808530215	-0.017530940577912227	0.14809047332129663	0.024002194768021762	-0.017120145364061954	-0.018212636849200953	0.12022739946209907	-0.027287430286486128	-0.04948784895008921	-0.12318471482685252	-0.050768544654016576	-0.022614980618394016	0.08298407566376848	-0.019769252353157584	0.061908341089670534	0.020618891517151315	-0.043639407154953874	-0.01138107275776751	0.006985056234210743	0.038395933320840625	0.04411145481268859	-0.05369691558732194	-0.002153839530510993	-0.015144344490757461	0.017836320979456713	0.0011753244656480253	-0.0041678461982772195	-0.0038421974693617217	0.010987973771505798	-0.016909236072227267	0.006399207311176647	-0.0027462430362494945	-0.0027685235944162603	-0.0
Y.K4	0.0553558553641842	-0.3151305659046622	0.08272533406181608	-0.02077511752639564	0.028612094091634774	-0.001878214267250297	0.03505984976608484	-0.008862618905599433	-0.04362491198755249	-0.04080465470093558	-0.001159910651380639	0.0021563474069046656	-0.030638472011390593	-0.07185726009793687	-0.010460947309465743	0.021255306238894503	-0.018801729038908276	0.0712412931411889	-0.06838406011890312	0.004431993945686599	0.02464086760788483	-0.04244816895780033	-0.016671130489645518	-0.052737185229945964	0.02153992894222729	0.011209923609972937	0.010510146378463545	-0.00028609443588647527	-0.04383435523483175	0.05536651820090859	-0.08868896120997348	-0.05529943308348057	0.05060756930074943	-0.06207450496034683	-0.015021064408589899	0.05377566049163037	0.07843919062402571	-0.11021143233620094	-0.01662055373514304	-0.05287148528654647	-0.05477606040477806	0.015998755154966224	0.04023455874911969	0.02917859372363623	-0.016684702762125962	-0.005465919938679669	-0.01415070578024087	0.034931474522491075	0.01877376385715183	-0.0
Y.K5	0.04320194649605008	-0.3052442377132609	0.08208806282549162	-0.039878527100034575	-0.0021974497231117074	0.016597190040528228	0.028640020807223946	-0.006560255071859607	-0.0073544187714480215	-0.049541466759520515	-0.02803761446256404	0.0012662100446478937	-0.022367189072542093	-0.0192760998964291	0.01322459387966937	0.015189722216033019	0.054927965107227604	0.04754206710714186	-0.03891294278966568	-0.043695104562596405	-0.02364201143328672	0.04242628989562078	-0.016624642498754064	0.054883521384078496	0.04326935771141949	0.05122475861955751	0.058682861356148266	-0.026615326114034304	0.002259468405732596	0.028050126508200338	0.06617837435884324	-0.020271381544075883	-0.06027858396356411	0.012291292408464955	0.007599759820734876	0.010489040623485834	-0.010562553328027292	-0.05066135378584056	0.09406034174162266	-0.04489125142476751	0.03355320704064432	-0.11490766848629848	-0.02362639950861967	-0.0013815256644299592	0.024523548440569667	-0.025498060865865847	0.020696081899683562	-0.06890847126914434	-0.004040494020061065	-0.0
Y.M1	-0.011529413587519438	0.10551322531098113	-0.15300950729701293	0.1113208887304115	-0.1717086852978652	-0.12547076787067354	0.1536827818920038	-0.12499798227595421	0.011638706004538195	-0.08587364157042765	0.017683690700290085	-0.0915269391055867	0.1136473433311162	-0.0444412344127602	-0.02127620271951794	0.06606507437938548	-0.01745774022193747	-0.023939071651690763	-0.07031968621958562	0.008883368289080316	-0.16106546322458712	0.06142105579480223	-0.04567533567868583	-0.028827066919543256	-0.04023166099555882	-0.05654590793885387	0.06458018320882068	0.02479921764747347	-0.052679060888405516	0.02359065616557654	0.03526882828435525	-0.014136480185770574	0.01267816483089903	0.018057091278222387	0.02991433345679387	-0.014973501418830585	0.012432824749631968	-0.010186929365284772	-0.017218527504004072	0.00608521017915193	0.009135939863309364	0.014357241472560782	-0.004780238786380892	0.0026868647196566955	-0.012824564761793384	0.00013796454773804074	-0.0065938056434163925	-0.004666351918196892	0.0037234893431003415	-0.0
Y.M2	0.22086687280797926	0.10407714862362456	0.022761351815309618	-0.18195755988769508	-0.1012469123714499	0.0011808371922565689	-0.0029865189443326456	0.001271298230975215	0.05445488658057357	0.05673192972947714	0.006420633733410879	0.024560420733892946	0.06931074841157833	0.04899955505650788	-0.005711397264373638	-0.054467769456166146	-0.013722504568829959	0.01801044687245123	-0.08009753422530257	0.10974769567568285	0.07679612872691918	-0.036745220465763166	-0.01592662775147053	0.05258662806966729	-0.010965008082806593	-0.026825252910035336	0.03482638984531552	0.06829169946859619	0.021926329135164103	-0.00635052023970314	0.062439462814281116	-0.010467077056760893	0.032665268547148955	-0.03028645994553651	0.006845629380275458	0.0011008817588739862	0.05196468904624427	0.051216357939809526	0.04947356250411515	-0.05179428225111242	0.03338096744457075	0.036455985047586986	0.0522342438076172	-0.032450538801869266	0.026840567589852198	-0.011391692705825053	-0.039681349072638115	-0.01967370866269647	0.06336877875043853	-0.0
Y.M3	0.1793580809497179	0.08128126186202643	0.06709940438944449	-0.04961811927436918	0.04434273662495057	0.03134551923691937	0.02199895400222983	-0.010248192534225002	-0.0304315903581815	-0.053485003661310745	-0.04971897620377656	-0.0033836175909009794	-0.04480648487776533	-0.09670603796571532	0.028899494215330033	0.048541619425960594	0.027982452996916454	-0.027606573212536827	-0.014300687147230599	-0.06044573752507813	-0.011524746061696315	-0.005277688380465264	0.03747360879669363	-0.08268527572380203	0.009604622977756976	0.0025791136906731394	-0.05837914269668989	0.03420748064343413	0.0032854341257090476	-0.02678459201958337	0.006143975892909904	0.05124355217513931	-0.09124950463064006	-0.0382289861895909	0.01837643298076891	0.015307443806795799	-0.007398258378392066	0.005363388062357509	-0.041208851856612584	0.075267343354058	0.010180721940037885	-0.0049060543268173535	0.021275527204219515	-0.012423022858214755	-0.0476926864496481	-0.04044533326591715	-0.0035411158262046234	-0.03726357814766774	0.10828003603787736	-0.0
Y.M4	0.15920768930361143	0.07061132753930661	0.02563596910930067	0.018759579204383516	0.04184744333812984	0.02588590269658848	-0.02239168077312601	-0.012403451537217811	-0.010901175147927787	-0.012076883172495011	-0.027738957824740215	-0.013300085312139467	-0.04959371993664082	-0.0727557640063249	0.01693834815044759	0.055439956040954565	0.04235376205308038	-0.049876902671136446	-0.05477329238582481	-0.045952779338564106	-0.024868910790752496	0.05372710682628705	0.03242204471899705	0.03253052369244834	0.007209702871320049	-0.043404537185134984	-0.00020835570709010516	0.04240224907134279	0.07865308961863707	-0.009587303799507781	0.010013194594373144	0.04449185197478531	-0.017512286561242634	-0.06729628964849137	0.001876077777230448	0.023713588120854813	-0.0017346228870508175	-0.00014047580635136452	-0.011544167359894067	-0.056563155284964244	-0.054260228440545843	0.04242183653532015	0.011157512016117857	-0.053145110534004135	0.024636829382329375	0.1244140731870038	0.03702357139197156	-0.03950139644410714	-0.03305324838126534	-0.0
Y.M5	0.21033553196511615	0.05254429743083323	0.04363053996630216	-0.0415888869093749	0.024612284856490457	0.021229509485017586	0.0035585850645657754	-0.012846103931266718	-0.023105401587074637	-0.027520169500959313	-0.015230551951921	0.008833064922655403	-0.013932828222904333	-0.08702834516805055	0.03886857133331795	0.01424349956547067	0.009170182768085048	-0.007112023250363566	-0.04694619486837843	-0.0015304598423833014	0.03104523436542437	-0.03326042254236108	0.030371674709804987	-0.03148238491272471	0.04189598272059677	-0.02976951810096525	-0.0071926373885677335	0.05417201643213399	-0.01600391332505099	-0.02828444762741852	0.029976372691959068	0.029314932503473258	0.004688062869018821	-0.02346272574204139	0.03828871556052137	0.0029122727530559844	0.02589803218222756	0.039080919215530516	-0.019575369562122937	-0.024309403883667823	0.01950160954980918	0.010813370484389209	-0.004714814921510909	-0.035459549334049434	-0.04083240116819268	-0.10729126539012081	0.0008629971143686778	0.0106206498348638	-0.12439646358084308	-0.0
