	D1	D2	D3	D4	D5	DF1	DF2	DF3	DF4	DF5	Y.K1	Y.K2	Y.K3	Y.K4	Y.K5	Y.M1	Y.M2	Y.M3	Y.M4	Y.M5	Y.J1	Y.J2	Y.J3	Y.J4	Y.J5	Y.U1	Y.U2	Y.U3	Y.U4	Y.U5	Z.K1	Z.K2	Z.K3	Z.K4	Z.K5	Z.M1	Z.M2	Z.M3	Z.M4	Z.M5	Z.J1	Z.J2	Z.J3	Z.J4	Z.J5	Z.U1	Z.U2	Z.U3	Z.U4	Z.U5
D1	0.0	0.6882924519580635	0.6757956197648826	0.6245964108764331	0.6866303992083338	0.6519980503211182	0.706049387436988	0.6733567879757114	0.6763425967943923	0.6614432014350093	0.7348356906421828	0.7333226925217999	0.7333025710100008	0.7363341284232708	0.7177033153420618	0.7281014431369557	0.7623856475995097	0.6944182443473885	0.6774956150003528	0.7021875065131286	0.6961568082017319	0.661873348839171	0.7287598364741419	0.6805448822957756	0.7174556189239472	0.7310949970560561	0.7059498633566885	0.7015341992205824	0.7244243770869958	0.727929901180559	0.7672200952561498	0.7222299218289655	0.7957978849818068	0.7456260885009165	0.7225492185387958	0.7904441413586264	0.7568952213268559	0.6794296371457447	0.6701262804241945	0.7058964790024922	0.6829700673157946	0.6989850495457335	0.759210852428519	0.665312681685168	0.6670804069959839	0.7058532777544222	0.7241014713535183	0.6828454507769599	0.6899597633507508	0.6580362655219971
D2	0.6882924519580635	0.0	0.6903845850161348	0.6704404973117224	0.682603896455446	0.6482537779692662	0.6883380956656794	0.6825654362570097	0.6763831485967073	0.7509455782070716	0.816286744821023	0.8066744732216893	0.8071002200751949	0.811920997008255	0.7978316921653409	0.785523891120068	0.8382046148670328	0.7875211185752381	0.7784752470981653	0.8040384162724021	0.7952567230108574	0.7740763134519077	0.813952095361693	0.7860175316147168	0.8066221858063242	0.8134767364000429	0.7611989758747081	0.7489961742704049	0.818222578537541	0.8058132735756134	0.7934243207267115	0.8053235006061793	0.7991767870602065	0.8012672492130652	0.7783974024746497	0.7880233992418981	0.7859982172733497	0.757254506283073	0.7669014580354943	0.798707133208179	0.7799776924810923	0.7957665035270575	0.7716548483235717	0.7660083894068195	0.7698769676642262	0.7918194317364702	0.7669452415908573	0.7758695889759112	0.7632216270112641	0.7585307765383229
D3	0.6757956197648826	0.6903845850161348	0.0	0.6766893260693023	0.6800986445137251	0.6804809041473734	0.7130438846068703	0.7060473408561868	0.6976432334590505	0.6978044040510741	0.7566874641406649	0.7555437240708118	0.7550466456004518	0.7525366247914904	0.736381058544985	0.7423856837451774	0.7710227096285622	0.7143342083619932	0.7049906497504392	0.7302381606321662	0.7290916709343462	0.7081391104409818	0.7523098115748836	0.7207768045814216	0.7450170018640399	0.7459133644062161	0.7279351419680066	0.7201362546207073	0.7385914395412162	0.7392470515355434	0.7641512148548524	0.7497877827426687	0.7655988744489491	0.7656172632156141	0.7545763749188856	0.7497628015249489	0.7240099458412602	0.7168375129975365	0.7130758874320793	0.7383327505774382	0.7160613600434214	0.7362999630593268	0.7453415296985747	0.7040436486924946	0.7128498445702542	0.7263050833661833	0.7395615660334929	0.686276111788584	0.7042370957916557	0.6957209027922986
D4	0.6245964108764331	0.6704404973117224	0.6766893260693023	0.0	0.6647705696788866	0.6332363275357944	0.6715866774481439	0.6580338898979936	0.6674878711032961	0.6867107215115924	0.7657724177168436	0.7566860501570878	0.7606888589890661	0.7629714846255702	0.7493598371000982	0.7234450969831339	0.7748068203244451	0.7075308183825637	0.690726673081163	0.7155889369473122	0.710828505972497	0.6882877134803931	0.7415921797283177	0.7033022982200119	0.7332252957475244	0.7448520865969963	0.7162925617200254	0.7054883894925584	0.732805057562115	0.7315758148534225	0.7618886469463289	0.7564014747184623	0.7911988864039471	0.7482544913816469	0.7291401153169457	0.7645366859782387	0.7328985823130942	0.6667510941935567	0.6836548162711853	0.7198269959610867	0.7055004398627822	0.7167762371423307	0.7399016823028693	0.6778832943231893	0.6859039090593029	0.7139358240656155	0.6918074764315636	0.7039577444559308	0.7046252251693497	0.6672877924545972
D5	0.6866303992083338	0.682603896455446	0.6800986445137251	0.6647705696788866	0.0	0.6672646537311031	0.7059378906558789	0.692412547092015	0.6297314436352457	0.7607917311548168	0.8174943687690759	0.8166071980436762	0.8067338626595449	0.8249829967224169	0.8061924453722439	0.7538342535114985	0.82462304097149	0.7855513062010695	0.7705491423648083	0.7943653792071134	0.7789878592980365	0.7549897159073938	0.8064142460856134	0.7717930852994054	0.7887725750754858	0.8045859837263817	0.7694901278445415	0.757867603328415	0.800165039397192	0.7965511475710736	0.8075540465678097	0.8110854308402697	0.7939401629951023	0.8054068987762225	0.7896901526405493	0.7614549255067893	0.7622133967844323	0.7452056784969541	0.7604097868964304	0.7753634931949314	0.7673095715372837	0.785327851412379	0.7461274825018178	0.7575780297265117	0.7636150429246641	0.7832408707252981	0.7532337864387437	0.7533107301785014	0.7706860781389154	0.7580815715617347
DF1	0.6519980503211182	0.6482537779692662	0.6804809041473734	0.6332363275357944	0.6672646537311031	0.0	0.677495640901669	0.6569775030125318	0.6608227919351801	0.6867283656773717	0.7536803150409096	0.7449301289777329	0.7559126597320427	0.7575049210349295	0.7307470220862597	0.7259577801546659	0.7759796466912998	0.7172028994053101	0.7029151220238641	0.7244629325249884	0.7071711727878726	0.6820459715660737	0.7429483839664046	0.6921092011823424	0.7159632468879551	0.745259810056224	0.682322828640771	0.6743045646394246	0.7419760043116819	0.7312414152267732	0.7470227691505673	0.746479552228953	0.7672746268552065	0.7390885169079331	0.7164491447885717	0.7468223735181958	0.7324038446501417	0.6853600923063479	0.6858509978081965	0.7269729868702406	0.7029921657917297	0.7272110965143677	0.6996656677597517	0.6898492536469563	0.7003894520662078	0.718345905684941	0.6976515041372553	0.6967591397791713	0.7090733145709005	0.6864152906154802
DF2	0.706049387436988	0.6883380956656794	0.7130438846068703	0.6715866774481439	0.7059378906558789	0.677495640901669	0.0	0.6885964070643074	0.6952596707494154	0.7513995900864128	0.8186892507123518	0.8098323832314003	0.8165258650969724	0.8095158354059269	0.7929330044226383	0.7702611098421434	0.8174115309569553	0.7661389797396355	0.7596535836810654	0.780181622401476	0.7771414158441683	0.7563372396649861	0.7974006006762037	0.7759524560443055	0.7914229633240193	0.7966653797101755	0.7488658429356041	0.7454168508552763	0.7920765748555441	0.7868499815443104	0.7930519164932819	0.8114760437552634	0.8103188016212499	0.8021346083641714	0.7840398618892013	0.7584400181207411	0.7626188286038904	0.7433789881696802	0.7481410357443391	0.7852154400741788	0.7681030531792247	0.7791950710221656	0.7709756076529718	0.7631552570511096	0.7623457461061799	0.7759014042263082	0.7623447835281312	0.7669646048131672	0.7613864987217716	0.7494556969211752
DF3	0.6733567879757114	0.6825654362570097	0.7060473408561868	0.6580338898979936	0.692412547092015	0.6569775030125318	0.6885964070643074	0.0	0.6827910076641159	0.7174049545688774	0.7860681655257015	0.7820884058602672	0.7779519946762689	0.784277153043054	0.7635867395878891	0.7554188586620838	0.8019299316045149	0.7583495370397836	0.7366846412051377	0.7604154104912249	0.7491640198516402	0.7235234969250545	0.7739193334162875	0.7401597542936875	0.7627005594942204	0.7772785167347546	0.7578681641449158	0.7390899705111336	0.7697422409148973	0.7666609630985888	0.7725887858151989	0.7768142690955819	0.7979139810836493	0.7653585752401082	0.7516379315733437	0.7931437328613313	0.768508733416273	0.7155610647069492	0.7156323586185569	0.756788310756807	0.7455049451050096	0.7543221157364386	0.765010935616443	0.7282243257232286	0.7431042063643825	0.7522639736584689	0.7312354532150511	0.7391657307173369	0.7341325007934139	0.7271654324756246
DF4	0.6763425967943923	0.6763831485967073	0.6976432334590505	0.6674878711032961	0.6297314436352457	0.6608227919351801	0.6952596707494154	0.6827910076641159	0.0	0.7420114312553321	0.8139987882568428	0.8027440023798639	0.7968321593349663	0.8103470078781148	0.7952511174582917	0.7676522505429896	0.8398157975317221	0.7914402446187945	0.7805764835448477	0.8017428887047302	0.7879659039061784	0.7622090117619735	0.8113140080648858	0.7734115181974357	0.807440720353873	0.8097622446926223	0.7746567410765117	0.7630861773355168	0.8096351327197515	0.8017722887003826	0.7975238831356988	0.8009724882399787	0.7845056280926286	0.8003044614853896	0.7770012279861028	0.7667222299766184	0.7700804580755044	0.7532800019778294	0.7613959018181016	0.7950032825477162	0.7774718835417409	0.7950084713048393	0.7433536049213568	0.7623776322145328	0.7693951050566125	0.7891414508188819	0.7582308723813039	0.7479664392986136	0.7734133386299142	0.7589122425168884
DF5	0.6614432014350093	0.7509455782070716	0.6978044040510741	0.6867107215115924	0.7607917311548168	0.6867283656773717	0.7513995900864128	0.7174049545688774	0.7420114312553321	0.0	0.6818501375137711	0.6542755206733067	0.704896679580636	0.6599632269438921	0.6425015109073898	0.7055669882849236	0.6659753132714904	0.579474633629408	0.5803404744583119	0.5902334383591454	0.5994480381873852	0.5804091004830627	0.623124666042465	0.5892029148956498	0.6325458264484123	0.6318143652774099	0.6144413003070066	0.6389812131376933	0.6092455608123049	0.617541776914657	0.7320417817312543	0.6706084679231754	0.7818888237696973	0.6967635836557544	0.6778523536979187	0.7726159762898744	0.6905547610109688	0.6256687736372109	0.6035140272213031	0.6352959001608152	0.6118643766440698	0.6218889352607846	0.7417155106584055	0.603040014468844	0.6115245887522325	0.6188684268160384	0.6651630678306008	0.6154450982279632	0.62322321685197	0.5813213976615677
