pc vector number	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50
Y.K3	-0.09146168394304198	0.11042194450858508	0.24454682251778287	0.07983272799338666	0.01674195036337116	-0.049236295117589444	0.00024127634987517512	-0.08682509680915408	0.0219030070424713	-0.04013481167858482	0.03274020054257135	0.013672807513831172	0.03382426032485807	0.02674101382200516	0.014908364515335818	-0.013029110542277202	-0.032005668767122776	-0.026644921469772546	-0.01770771227062034	0.00020159267569476523	0.021126732069243346	-0.02517917927324609	-0.0128057147188684	-0.01060214758985819	0.004151101536772654	0.0027652706921901383	-0.0008020563903334364	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Y.K4	-0.1483713401691833	0.4250110106183941	0.07048399351159935	-0.03369805402028264	-0.07028701420551292	-0.03735781522594036	0.016690539908693663	0.09158972662070332	0.014435188624236596	-0.04351688244632968	-0.12489740509625673	-0.03206732248967709	-0.019955955720202735	-0.03494726603508064	0.0014249796966698865	0.02345086492634021	-0.011077124229253391	-0.009841910562034517	-0.01150764957815229	-0.013106533623863425	-0.004089926489695738	0.00470701614362653	-0.011277324393938875	0.008339254786274265	-0.002547573031240147	0.004451669118107279	0.0012345192823489453	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Y.K5	-0.031559673565504584	0.40144052040375	0.050979286265814876	-0.14629641037417115	-0.1061754223554852	-0.0857241771090876	-0.006353583602658342	-0.044011653213095484	0.0816936289394101	-0.03271786900958788	0.005770300087324242	-0.010094710974095094	0.006884682300998305	0.02595335892460542	-0.026350569600095058	-0.02611812807644581	0.0008426244068566758	0.02024243228581354	0.009861706919743996	0.005378110159638344	-0.007048963074331731	-0.012410526259662241	0.028557524124466323	0.0013358734795009112	-0.0012316319301243026	0.0015436951014861384	-0.0017534251768787069	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Y.M1	0.12338615968917953	-0.3163279097549443	0.1831370583220369	-0.05801732841205062	-0.01736882875522585	-0.03465438624476087	-0.030770302153568574	0.1635562205043648	0.025355286422853493	0.02022002061144876	-0.015057976951011172	0.023011517357127757	-0.023780398942799135	0.07419081369635565	0.008094476479152466	-0.040925730882670174	0.0016836214140736278	-0.012594646566921577	-0.00866487329184917	-0.024114729664577065	-0.01047271328187135	0.00014851933693059525	-0.0018829546014329814	-0.0023311095136603712	-0.002666321701790963	0.003055893899080826	0.0003456359327724615	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Y.M2	0.3718036890790464	0.03344471921203774	0.004319474477892058	0.1657930085355975	-0.07522284698109884	-0.04658728390168238	-0.01212866023372924	0.036679411991425555	0.009386864318643088	-0.01299043615082438	-0.06122462723794609	-0.0619649389880662	-0.007113354165583014	0.030358202134048853	0.0075704791109848756	0.06200018256554049	0.007202810044970429	-0.019915137562501354	-0.0020970844006043777	0.02334215719109665	-0.010084511015043408	0.0031653492077832485	0.016358658883623946	0.008766369253226098	0.007357549654657601	-0.0006351496656269645	0.0020395319915534533	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Y.M3	0.34006790475170834	0.06479648220815966	-0.02620548606623603	-0.22887547462578542	-0.07587642505826675	0.023954492264834596	-0.08111891566752563	0.001045449491011687	-0.04217368882512129	-0.03733466949008454	0.006244226507612892	0.05851591361185579	0.004983774120134786	-0.06542047846233853	-0.018194946592480252	0.0005845750783144403	-0.006403790368515939	0.0014886258229701973	-0.01973770743686668	0.0026881415234206747	0.0054431380380979225	-0.005887532227177974	0.0149965428052558	-0.0013819789270254747	-0.003528417124798093	-0.0023039111676473037	-0.0013022026081617253	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Y.M4	0.22682173430754612	0.09514430509592582	-0.0732260581352881	-0.11859383749183626	-0.007442602703114843	-0.059872589895020895	-0.09798543944237946	-0.1050651365982193	0.0017145626550574028	0.07424240332674249	-0.012721265548258205	0.011041075356648203	-0.027952410300857825	0.05648479277908768	0.011425642135901443	-0.021028966046525883	-0.00514483974164838	0.00900581889191894	0.012135616774386756	0.035949384752430175	0.0037072127337626714	-0.005842679643885998	-0.01010334279947474	0.005484080063468996	0.001947469358119264	0.0002884231258849764	0.004062944640441937	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Y.M5	0.3858164658853394	0.05612712448619796	-0.06200183553854316	-0.2530969303339431	0.043519706728101626	-0.01800920784399642	0.08083712595404957	-0.027456200305363276	0.09053212993932684	0.0539304804110415	0.012375051731441331	0.012704201569171404	0.021061099077751975	0.005570145995031895	0.026387985582403652	0.00469051163541102	-0.0046004692733775665	-0.0019328209933497124	0.004524914577434714	-0.011451613006248196	-0.006693783256459181	0.004664560462233882	-0.007090231730179354	-0.00575288538172783	0.005400472251423169	0.005611874255356739	7.671740229316335e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Y.J1	0.2317893408099965	-0.010492320051391942	-0.02908798077018952	0.047508043185803234	0.14500408811107404	-0.1124255590811979	0.07139344796111921	0.08839182973444364	0.01684168665459834	0.015241749784225439	-0.023343150518280013	0.02033374419623576	-0.020969250770479907	-0.038529248300780396	-0.014736577612264675	0.001150084944410753	-0.030906539282774946	0.02475951394674579	-0.006625945081922191	0.004339695411771245	0.021513563091398135	-0.0036643913627805087	0.0020202619819733596	0.00480410132564486	0.010981544908934639	0.0055413448157588365	-0.00040738338199331343	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Y.J2	0.2408869926396564	-0.01405897577425407	0.034868848203149366	-0.004403383904121	-0.0670781736735279	0.005411758747026451	0.0596373523922929	-0.04263196490754861	-0.0500231524287841	0.0671256793017381	-0.03249852741994316	0.009561145850874015	-0.08616738938321752	0.004893785756866723	0.01958088443304212	-0.011120226829809435	-0.021744484258710534	-0.01216730233523567	0.005410348524132013	0.005100295436334262	-0.00323306338235462	0.029215859033799085	-0.017397587562485918	-0.0016663643882017143	0.0007499956534106297	-0.009138021795098965	-0.002691167876988451	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
