#OTU ID	taxonomy	Consensus
ASV1037	k__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Frankiales;f__Frankiaceae;g__Jatrophihabitans;s__	0.636
ASV1038	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae	0.909
ASV1039	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Planococcaceae;g__Lysinibacillus	0.909
ASV104	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae	0.909
ASV1040	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__unidentified_Rhizobiales;g__Bauldia;s__	0.909
ASV1041	k__Bacteria;p__Chloroflexi;c__Chloroflexia;o__Thermomicrobiales;f__JG30-KF-CM45;g__;s__	1.0
ASV1042	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae;g__Noviherbaspirillum	0.6
ASV1043	k__Bacteria;p__Bdellovibrionota;c__Bdellovibrionia;o__Bdellovibrionales;f__Bdellovibrionaceae;g__OM27_clade;s__	0.909
ASV1044	k__Bacteria;p__Chloroflexi;c__TK10;o__;f__;g__;s__	0.909
ASV1045	k__Bacteria;p__Firmicutes;c__Clostridia;o__Christensenellales;f__Christensenellaceae;g__Christensenellaceae_R-7_group;s__	0.909
ASV1046	k__Bacteria;p__Chloroflexi;c__Chloroflexia;o__Thermomicrobiales;f__JG30-KF-CM45;g__;s__	0.909
ASV1047	k__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Anaerovoracaceae;g__Anaerovorax;s__	0.909
ASV1048	k__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Isosphaerales;f__Isosphaeraceae	1.0
ASV1049	k__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__TM7a;s__	0.818
ASV105	k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__env.OPS_17;g__;s__	0.909
ASV1050	k__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__;g__;s__	0.636
ASV1051	k__Bacteria;p__Patescibacteria;c__Berkelbacteria;o__;f__;g__;s__	0.7
ASV1052	k__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__Ilumatobacteraceae;g__CL500-29_marine_group;s__	1.0
ASV1053	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Devosiaceae;g__Devosia;s__	0.636
ASV1054	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Rhodanobacteraceae;g__Rhodanobacter	0.909
ASV1055	k__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__Phaselicystidaceae;g__Phaselicystis;s__	0.818
ASV1056	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Comamonadaceae	0.909
ASV1057	k__Bacteria;p__Chloroflexi;c__Ktedonobacteria;o__C0119;f__;g__;s__	0.818
